Change component parameters: Designator = "RPI1" ("RPI1"); Footprint = "RPI"; UniqueID = "\NVOIFUQS" ("\NVOIFUQS")
Add component (AddParameter): Name = "Output Current"; Value = "130mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Voltage"; Value = "220V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "2500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "625mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Propagation Delay"; Value = "220ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Release Time"; Value = "150ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rise Time"; Value = "170ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Schedule B"; Value = "8542390000, 8542390000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-Off Delay Time"; Value = "150ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-On Delay Time"; Value = "160ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "540.001716mg"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "3.9878mm"; VariantName = "[No Variations]"
Added Component: Designator=U6(FP-PG-DSO-8-MFG)
Add component (AddParameter): Name = "Ambient Temperature Range High"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "DIP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Channel Type"; Value = "Independent"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fall Time"; Value = "35ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.4986mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "4.9784mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "NRND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temperature (Tj)"; Value = "150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Output Current"; Value = "600mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "625mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Current"; Value = "270µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount, Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "65875172"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Supply Current"; Value = "150µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Drivers"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Outputs"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Current"; Value = "270µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Current"; Value = "130mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Voltage"; Value = "220V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "2500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "625mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Propagation Delay"; Value = "220ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Release Time"; Value = "150ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rise Time"; Value = "170ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Schedule B"; Value = "8542390000, 8542390000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-Off Delay Time"; Value = "150ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-On Delay Time"; Value = "160ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "540.001716mg"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "3.9878mm"; VariantName = "[No Variations]"
Add Component: Footprint Not Found PT15H05
Added Pin To Net: NetName=GND Pin=C2-2
Added Pin To Net: NetName=GND Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=GND Pin=C5-2
Added Pin To Net: NetName=GND Pin=C6-2
Added Pin To Net: NetName=GND Pin=C8-2
Added Pin To Net: NetName=GND Pin=C9-2
Added Pin To Net: NetName=GND Pin=C10-1
Added Pin To Net: NetName=+5V Pin=C11-1
Added Pin To Net: NetName=GND Pin=C11-2
Added Pin To Net: NetName=+5V Pin=C12-1
Added Pin To Net: NetName=GND Pin=C12-2
Added Pin To Net: NetName=+5V Pin=C13-1
Added Pin To Net: NetName=GND Pin=C13-2
Added Pin To Net: NetName=GND Pin=C17-2
Added Pin To Net: NetName=GND Pin=C18-2
Added Pin To Net: NetName=GND Pin=C19-2
Added Pin To Net: NetName=GND Pin=C20-2
Added Pin To Net: NetName=GND Pin=C21-2
Added Pin To Net: NetName=GND Pin=C22-2
Added Pin To Net: NetName=GND Pin=C23-2
Added Pin To Net: NetName=GND Pin=C24-2
Added Pin To Net: NetName=GND Pin=C25-2
Added Pin To Net: NetName=GND Pin=C26-2
Added Pin To Net: NetName=GND Pin=C27-2
Added Pin To Net: NetName=GND Pin=C28-2
Added Pin To Net: NetName=GND Pin=C29-2
Added Pin To Net: NetName=GND Pin=C30-2
Added Pin To Net: NetName=GND Pin=C31-2
Add Pin To Net: Unknown Pin: Pin D4-2
Add Pin To Net: Unknown Pin: Pin D5-2
Add Pin To Net: Unknown Pin: Pin D6-2
Add Pin To Net: Unknown Pin: Pin D7-2
Add Pin To Net: Unknown Pin: Pin D8-2
Add Pin To Net: Unknown Pin: Pin D9-2
Add Pin To Net: Unknown Pin: Pin IC1-3
Add Pin To Net: Unknown Pin: Pin IC1-4
Add Pin To Net: Unknown Pin: Pin IC1-7
Added Pin To Net: NetName=GND Pin=J1-2
Add Pin To Net: Unknown Pin: Pin J2-1
Add Pin To Net: Unknown Pin: Pin J2-5
Add Pin To Net: Unknown Pin: Pin J3-4
Added Pin To Net: NetName=GND Pin=J5-1
Added Pin To Net: NetName=GND Pin=J5-1
Added Pin To Net: NetName=+5V Pin=J7-1
Added Pin To Net: NetName=GND Pin=J7-2
Added Pin To Net: NetName=+5V Pin=L2-2
Add Pin To Net: Unknown Pin: Pin LED1-1
Add Pin To Net: Unknown Pin: Pin LED2-1
Add Pin To Net: Unknown Pin: Pin Q4-3
Add Pin To Net: Unknown Pin: Pin Q5-3
Add Pin To Net: Unknown Pin: Pin Q6-3
Added Pin To Net: NetName=GND Pin=R4-2
Add Pin To Net: Unknown Pin: Pin R5-2
Add Pin To Net: Unknown Pin: Pin R6-1
Added Pin To Net: NetName=+5V Pin=R8-2
Added Pin To Net: NetName=+5V Pin=R9-1
Added Pin To Net: NetName=+5V Pin=R10-1
Added Pin To Net: NetName=+5V Pin=R11-1
Added Pin To Net: NetName=GND Pin=R13-2
Add Pin To Net: Unknown Pin: Pin R14-2
Added Pin To Net: NetName=GND Pin=R24-2
Added Pin To Net: NetName=GND Pin=R25-2
Added Pin To Net: NetName=GND Pin=R26-2
Added Pin To Net: NetName=GND Pin=R27-2
Added Pin To Net: NetName=GND Pin=R28-2
Added Pin To Net: NetName=GND Pin=R29-2
Added Pin To Net: NetName=+3V3 Pin=RPI1-1
Added Pin To Net: NetName=+5V Pin=RPI1-2
Added Pin To Net: NetName=NetRPI1_3 Pin=RPI1-3
Added Pin To Net: NetName=+5V Pin=RPI1-4
Added Pin To Net: NetName=NetRPI1_5 Pin=RPI1-5
Added Pin To Net: NetName=GND Pin=RPI1-6
Added Pin To Net: NetName=NetRPI1_7 Pin=RPI1-7
Added Pin To Net: NetName=NetRPI1_8 Pin=RPI1-8
Added Pin To Net: NetName=GND Pin=RPI1-9
Added Pin To Net: NetName=NetRPI1_10 Pin=RPI1-10
Added Pin To Net: NetName=NetRPI1_11 Pin=RPI1-11
Added Pin To Net: NetName=NetRPI1_13 Pin=RPI1-13
Added Pin To Net: NetName=GND Pin=RPI1-14
Added Pin To Net: NetName=NetRPI1_15 Pin=RPI1-15
Added Pin To Net: NetName=NetRPI1_16 Pin=RPI1-16
Added Pin To Net: NetName=+3V3 Pin=RPI1-17
Added Pin To Net: NetName=NetRPI1_18 Pin=RPI1-18
Added Pin To Net: NetName=NetRPI1_19 Pin=RPI1-19
Added Pin To Net: NetName=GND Pin=RPI1-20
Added Pin To Net: NetName=NetRPI1_21 Pin=RPI1-21
Added Pin To Net: NetName=NetRPI1_22 Pin=RPI1-22
Added Pin To Net: NetName=NetRPI1_23 Pin=RPI1-23
Added Pin To Net: NetName=NetRPI1_24 Pin=RPI1-24
Added Pin To Net: NetName=GND Pin=RPI1-25
Added Pin To Net: NetName=NetRPI1_26 Pin=RPI1-26
Added Pin To Net: NetName=NetRPI1_29 Pin=RPI1-29
Added Pin To Net: NetName=GND Pin=RPI1-30
Added Pin To Net: NetName=NetRPI1_31 Pin=RPI1-31
Added Pin To Net: NetName=NetRPI1_32 Pin=RPI1-32
Added Pin To Net: NetName=NetRPI1_33 Pin=RPI1-33
Added Pin To Net: NetName=GND Pin=RPI1-34
Added Pin To Net: NetName=NetRPI1_35 Pin=RPI1-35
Added Pin To Net: NetName=NetRPI1_36 Pin=RPI1-36
Added Pin To Net: NetName=NetRPI1_37 Pin=RPI1-37
Added Pin To Net: NetName=NetRPI1_38 Pin=RPI1-38
Added Pin To Net: NetName=GND Pin=RPI1-39
Added Pin To Net: NetName=NetRPI1_40 Pin=RPI1-40
Added Pin To Net: NetName=GND Pin=U1-4
Added Pin To Net: NetName=GND Pin=U2-4
Added Pin To Net: NetName=GND Pin=U3-19
Added Pin To Net: NetName=+5V Pin=U3-20
Added Pin To Net: NetName=+5V Pin=U3-38
Added Pin To Net: NetName=GND Pin=U3-39
Added Pin To Net: NetName=GND Pin=U3-44
Added Pin To Net: NetName=GND Pin=U4-4
Added Pin To Net: NetName=GND Pin=U5-4
Added Pin To Net: NetName=GND Pin=U6-4
Add Pin To Net: Unknown Pin: Pin VR1-1
Add Pin To Net: Unknown Pin: Pin VR1-3
Added Pin To Net: NetName=+12V Pin=C5-1
Added Pin To Net: NetName=+12V Pin=C6-1
Added Pin To Net: NetName=+12V Pin=C17-1
Added Pin To Net: NetName=+12V Pin=C18-1
Added Pin To Net: NetName=+12V Pin=C19-1
Added Pin To Net: NetName=+12V Pin=C20-1
Added Pin To Net: NetName=+12V Pin=C21-1
Added Pin To Net: NetName=+12V Pin=C22-1
Added Pin To Net: NetName=+12V Pin=J1-1
Added Pin To Net: NetName=+12V Pin=L1-2
Added Pin To Net: NetName=+12V Pin=R3-1
Added Pin To Net: NetName=+12V Pin=U4-1
Added Pin To Net: NetName=+12V Pin=U5-1
Added Pin To Net: NetName=+12V Pin=U6-1
Added Net: Name=+12V
Added Pin To Net: NetName=+24V Pin=C2-1
Added Pin To Net: NetName=+24V Pin=C3-1
Added Pin To Net: NetName=+24V Pin=C8-1
Added Pin To Net: NetName=+24V Pin=C9-1
Added Pin To Net: NetName=+24V Pin=C23-1
Added Pin To Net: NetName=+24V Pin=C24-1
Added Pin To Net: NetName=+24V Pin=C25-1
Added Pin To Net: NetName=+24V Pin=C26-1
Added Pin To Net: NetName=+24V Pin=C27-1
Added Pin To Net: NetName=+24V Pin=C28-1
Added Pin To Net: NetName=+24V Pin=C29-1
Added Pin To Net: NetName=+24V Pin=C30-1
Added Pin To Net: NetName=+24V Pin=C31-1
Added Pin To Net: NetName=+24V Pin=J4-1
Added Pin To Net: NetName=+24V Pin=J4-1
Added Pin To Net: NetName=+24V Pin=U1-3
Added Pin To Net: NetName=+24V Pin=U2-3
Added Net: Name=+24V
Added Pin To Net: NetName=Alert_Current Pin=R11-2
Added Pin To Net: NetName=Alert_Current Pin=U3-16
Added Net: Name=Alert_Current
Added Pin To Net: NetName=Boot_3V3 Pin=U3-41
Added Net: Name=Boot_3V3
Added Pin To Net: NetName=Boot_DIO Pin=U3-42
Added Net: Name=Boot_DIO
Added Pin To Net: NetName=Boots_SCK Pin=U3-43
Added Net: Name=Boots_SCK
Added Pin To Net: NetName=H_Usig Pin=R24-1
Added Pin To Net: NetName=H_Usig Pin=U3-25
Added Pin To Net: NetName=H_Usig Pin=U4-2
Added Net: Name=H_Usig
Added Pin To Net: NetName=H_Vsig Pin=R26-1
Added Pin To Net: NetName=H_Vsig Pin=U3-26
Added Pin To Net: NetName=H_Vsig Pin=U5-2
Added Net: Name=H_Vsig
Added Pin To Net: NetName=H_Wsig Pin=R28-1
Added Pin To Net: NetName=H_Wsig Pin=U3-27
Added Pin To Net: NetName=H_Wsig Pin=U6-2
Added Net: Name=H_Wsig
Added Pin To Net: NetName=Hall_Usig Pin=U3-8
Added Pin To Net: NetName=Hall_Usig Pin=U3-9
Added Net: Name=Hall_Usig
Added Pin To Net: NetName=Hall_Vsig Pin=U3-7
Added Net: Name=Hall_Vsig
Added Pin To Net: NetName=Hall_Wsig Pin=U3-6
Added Net: Name=Hall_Wsig
Added Pin To Net: NetName=I2C_SCL_Current Pin=R9-2
Added Pin To Net: NetName=I2C_SCL_Current Pin=U3-17
Added Net: Name=I2C_SCL_Current
Added Pin To Net: NetName=I2C_SCL_Pi Pin=J6-2
Added Pin To Net: NetName=I2C_SCL_Pi Pin=U3-34
Added Net: Name=I2C_SCL_Pi
Added Pin To Net: NetName=I2C_SDA_Current Pin=R10-2
Added Pin To Net: NetName=I2C_SDA_Current Pin=U3-31
Added Net: Name=I2C_SDA_Current
Added Pin To Net: NetName=I2C_SDA_Pi Pin=J6-1
Added Pin To Net: NetName=I2C_SDA_Pi Pin=U3-35
Added Net: Name=I2C_SDA_Pi
Added Pin To Net: NetName=L_Usig Pin=R25-1
Added Pin To Net: NetName=L_Usig Pin=U3-22
Added Pin To Net: NetName=L_Usig Pin=U4-3
Added Net: Name=L_Usig
Added Pin To Net: NetName=L_Vsig Pin=R27-1
Added Pin To Net: NetName=L_Vsig Pin=U3-23
Added Pin To Net: NetName=L_Vsig Pin=U5-3
Added Net: Name=L_Vsig
Added Pin To Net: NetName=L_Wsig Pin=R29-1
Added Pin To Net: NetName=L_Wsig Pin=U3-24
Added Pin To Net: NetName=L_Wsig Pin=U6-3
Added Net: Name=L_Wsig
Added Pin To Net: NetName=NetC1_1 Pin=C1-1
Added Pin To Net: NetName=NetC1_1 Pin=U1-6
Added Net: Name=NetC1_1
Added Pin To Net: NetName=NetC1_2 Pin=C1-2
Added Pin To Net: NetName=NetC1_2 Pin=L1-1
Added Pin To Net: NetName=NetC1_2 Pin=U1-5
Added Net: Name=NetC1_2
Added Pin To Net: NetName=NetC4_2 Pin=C4-2
Added Pin To Net: NetName=NetC4_2 Pin=U1-7
Added Net: Name=NetC4_2
Added Pin To Net: NetName=NetC7_1 Pin=C7-1
Added Pin To Net: NetName=NetC7_1 Pin=U2-6
Added Net: Name=NetC7_1
Added Pin To Net: NetName=NetC7_2 Pin=C7-2
Added Pin To Net: NetName=NetC7_2 Pin=L2-1
Added Pin To Net: NetName=NetC7_2 Pin=U2-5
Added Net: Name=NetC7_2
Added Pin To Net: NetName=NetC10_2 Pin=C10-2
Added Pin To Net: NetName=NetC10_2 Pin=U2-7
Added Net: Name=NetC10_2
Added Pin To Net: NetName=NetC14_1 Pin=C14-1
Added Pin To Net: NetName=NetC14_1 Pin=D1-2
Added Pin To Net: NetName=NetC14_1 Pin=U4-8
Added Net: Name=NetC14_1
Added Pin To Net: NetName=NetC15_1 Pin=C15-1
Added Pin To Net: NetName=NetC15_1 Pin=D2-2
Added Pin To Net: NetName=NetC15_1 Pin=U5-8
Added Net: Name=NetC15_1
Added Pin To Net: NetName=NetC16_1 Pin=C16-1
Added Pin To Net: NetName=NetC16_1 Pin=D3-2
Added Pin To Net: NetName=NetC16_1 Pin=U6-8
Added Net: Name=NetC16_1
Added Pin To Net: NetName=NetD1_1 Pin=D1-1
Added Net: Name=NetD1_1
Added Pin To Net: NetName=NetD2_1 Pin=D2-1
Added Net: Name=NetD2_1
Added Pin To Net: NetName=NetD3_1 Pin=D3-1
Added Net: Name=NetD3_1
Added Pin To Net: NetName=NetD4_1 Pin=R18-2
Added Net: Name=NetD4_1
Added Pin To Net: NetName=NetD5_1 Pin=R19-2
Added Net: Name=NetD5_1
Added Pin To Net: NetName=NetD6_1 Pin=R20-2
Added Net: Name=NetD6_1
Added Pin To Net: NetName=NetD7_1 Pin=R21-2
Added Net: Name=NetD7_1
Added Pin To Net: NetName=NetD8_1 Pin=R22-2
Added Net: Name=NetD8_1
Added Pin To Net: NetName=NetD9_1 Pin=R23-2
Added Net: Name=NetD9_1
Added Net: Name=NetLED1_2
Added Net: Name=NetLED2_2
Added Pin To Net: NetName=NetR2_2 Pin=U1-2
Added Net: Name=NetR2_2
Added Pin To Net: NetName=NetR3_2 Pin=R3-2
Added Pin To Net: NetName=NetR3_2 Pin=R4-1
Added Pin To Net: NetName=NetR3_2 Pin=U1-8
Added Net: Name=NetR3_2
Added Pin To Net: NetName=NetR7_2 Pin=U2-2
Added Net: Name=NetR7_2
Added Pin To Net: NetName=NetR8_1 Pin=R8-1
Added Pin To Net: NetName=NetR8_1 Pin=R13-1
Added Pin To Net: NetName=NetR8_1 Pin=U2-8
Added Net: Name=NetR8_1
Added Pin To Net: NetName=NetR18_1 Pin=R18-1
Added Pin To Net: NetName=NetR18_1 Pin=U5-7
Added Net: Name=NetR18_1
Added Pin To Net: NetName=NetR19_1 Pin=R19-1
Added Pin To Net: NetName=NetR19_1 Pin=U6-7
Added Net: Name=NetR19_1
Added Pin To Net: NetName=NetR20_1 Pin=R20-1
Added Pin To Net: NetName=NetR20_1 Pin=U4-7
Added Net: Name=NetR20_1
Added Pin To Net: NetName=NetR21_1 Pin=R21-1
Added Pin To Net: NetName=NetR21_1 Pin=U4-5
Added Net: Name=NetR21_1
Added Pin To Net: NetName=NetR22_1 Pin=R22-1
Added Pin To Net: NetName=NetR22_1 Pin=U5-5
Added Net: Name=NetR22_1
Added Pin To Net: NetName=NetR23_1 Pin=R23-1
Added Pin To Net: NetName=NetR23_1 Pin=U6-5
Added Net: Name=NetR23_1
Added Pin To Net: NetName=NetRPI1_12 Pin=RPI1-12
Added Net: Name=NetRPI1_12
Added Pin To Net: NetName=Potmeter_ADC Pin=U3-10
Added Net: Name=Potmeter_ADC
Added Pin To Net: NetName=U_Load Pin=C14-2
Added Pin To Net: NetName=U_Load Pin=J8-1
Added Pin To Net: NetName=U_Load Pin=J8-1
Added Pin To Net: NetName=U_Load Pin=U4-6
Added Net: Name=U_Load
Added Pin To Net: NetName=V_Load Pin=C15-2
Added Pin To Net: NetName=V_Load Pin=J9-1
Added Pin To Net: NetName=V_Load Pin=J9-1
Added Pin To Net: NetName=V_Load Pin=U5-6
Added Net: Name=V_Load
Added Net: Name=Vmosfet
Added Pin To Net: NetName=W_Load Pin=C16-2
Added Pin To Net: NetName=W_Load Pin=J10-1
Added Pin To Net: NetName=W_Load Pin=J10-1
Added Pin To Net: NetName=W_Load Pin=U6-6
Added Net: Name=W_Load
Added Class: Name=RPIShield
Added Room: Name=RPIShield
